W N1 N2
15307.8 0.000252928 -7.35132e-05
15316.1 0.000247113 -6.92449e-05
15324.5 0.000241944 -6.52059e-05
15332.8 0.000236945 -6.13142e-05
15341.1 0.000232025 -5.75597e-05
15349.4 0.000227143 -5.39449e-05
15357.7 0.00022234 -5.04824e-05
15366.1 0.000217552 -4.70211e-05
15374.4 0.000212689 -4.36306e-05
15382.7 0.00020773 -4.03228e-05
15391 0.000202634 -3.70939e-05
15399.3 0.000197274 -3.39183e-05
15407.7 0.000191332 -3.14043e-05
15416 0.000185847 -2.94506e-05
15424.3 0.000180541 -2.76533e-05
15432.6 0.000175317 -2.59884e-05
15440.9 0.0001701 -2.44403e-05
15449.3 0.00016468 -2.29801e-05
15457.6 0.000159192 -2.24384e-05
15465.9 0.000154241 -2.21086e-05
15474.2 0.00014958 -2.19221e-05
15482.5 0.000145198 -2.18745e-05
15490.8 0.000141168 -2.19725e-05
15499.2 0.000138087 -2.19621e-05
15507.5 0.000134628 -2.06853e-05
15515.8 0.000130599 -1.94006e-05
15524.1 0.000126167 -1.81275e-05
15532.4 0.000121256 -1.68491e-05
15540.8 0.000115513 -1.55047e-05
15549.1 0.000107214 -1.57286e-05
15557.4 0.0001009 -1.89883e-05
15565.7 9.59789e-05 -2.25429e-05
15574 9.20425e-05 -2.63153e-05
15582.4 8.9069e-05 -3.0291e-05
15590.7 8.73981e-05 -3.45105e-05
15599 8.81749e-05 -3.67966e-05
15607.3 8.72837e-05 -3.73025e-05
15615.6 8.57219e-05 -3.77415e-05
15624 8.3765e-05 -3.81529e-05
15632.3 8.14504e-05 -3.8538e-05
15640.6 7.85815e-05 -3.88575e-05
15648.9 7.47855e-05 -4.04112e-05
15657.2 7.19286e-05 -4.26338e-05
15665.6 6.944e-05 -4.49433e-05
15673.9 6.71701e-05 -4.73133e-05
15682.2 6.50102e-05 -4.97287e-05
15690.5 6.27074e-05 -5.21644e-05
15698.8 6.02319e-05 -5.57825e-05
15707.2 5.88042e-05 -5.97338e-05
15715.5 5.79813e-05 -6.37631e-05
15723.8 5.77152e-05 -6.78583e-05
15732.1 5.80461e-05 -7.20113e-05
15740.4 5.92167e-05 -7.62101e-05
15748.8 6.09978e-05 -7.93811e-05
15757.1 6.26263e-05 -8.25347e-05
15765.4 6.4571e-05 -8.57745e-05
15773.7 6.7032e-05 -8.91232e-05
15782 7.03151e-05 -9.26306e-05
15790.3 7.55546e-05 -9.65009e-05
15798.7 8.23561e-05 -9.57887e-05
15807 8.68108e-05 -9.43727e-05
15815.3 9.0485e-05 -9.27932e-05
15823.6 9.36883e-05 -9.10943e-05
15831.9 9.65663e-05 -8.92856e-05
15840.3 9.92029e-05 -8.73316e-05
15848.6 0.000101461 -8.5307e-05
15856.9 0.000103589 -8.33451e-05
15865.2 0.000105642 -8.13787e-05
15873.5 0.000107666 -7.94014e-05
15881.9 0.000109726 -7.74239e-05
15890.2 0.000112007 -7.55169e-05
15898.5 0.000114778 -7.28602e-05
15906.8 0.000117115 -6.98023e-05
15915.1 0.000119287 -6.6565e-05
15923.5 0.000121394 -6.31733e-05
15931.8 0.000123561 -5.96449e-05
15940.1 0.000126187 -5.60263e-05
15948.4 0.000129488 -5.02882e-05
15956.7 0.000131089 -4.37332e-05
15965.1 0.00013179 -3.6913e-05
15973.4 0.000131671 -2.98251e-05
15981.7 0.000130639 -2.24435e-05
15990 0.000128259 -1.46884e-05
15998.3 0.000123639 -8.82345e-06
16006.7 0.000120304 -4.08244e-06
16015 0.000117161 7.73787e-07
16023.3 0.000113879 5.79e-06
16031.6 0.000110235 1.09915e-05
16039.9 0.000105907 1.64161e-05
16048.3 0.000100023 2.09824e-05
16056.6 9.48616e-05 2.44334e-05
