W N1 N2
15638.8 0.000155097 -8.52533e-05
15643.8 0.000153884 -8.46706e-05
15648.9 0.000152663 -8.41886e-05
15653.9 0.00015149 -8.37455e-05
15659 0.000150356 -8.33288e-05
15664 0.000149257 -8.29345e-05
15669.1 0.000148191 -8.25608e-05
15674.1 0.000147158 -8.2207e-05
15679.2 0.00014616 -8.18736e-05
15684.2 0.0001452 -8.15633e-05
15689.3 0.000144288 -8.12859e-05
15694.3 0.000143508 -8.10207e-05
15699.4 0.000142751 -8.06487e-05
15704.4 0.00014199 -8.0254e-05
15709.4 0.000141234 -7.98467e-05
15714.5 0.000140488 -7.94291e-05
15719.5 0.000139751 -7.90014e-05
15724.6 0.000139023 -7.8562e-05
15729.6 0.000138302 -7.81073e-05
15734.7 0.000137581 -7.76298e-05
15739.7 0.000136838 -7.71065e-05
15744.8 0.000135938 -7.66322e-05
15749.8 0.000135108 -7.62947e-05
15754.9 0.000134335 -7.59881e-05
15759.9 0.000133608 -7.5699e-05
15765 0.000132922 -7.54212e-05
15770 0.000132273 -7.51516e-05
15775.1 0.000131661 -7.48881e-05
15780.1 0.000131086 -7.463e-05
15785.1 0.000130548 -7.43784e-05
15790.2 0.000130058 -7.41433e-05
15795.2 0.000129663 -7.38667e-05
15800.3 0.000129271 -7.35429e-05
15805.3 0.000128895 -7.31983e-05
15810.4 0.000128537 -7.2835e-05
15815.4 0.000128197 -7.24526e-05
